block_id,port_id
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
2,16
2,17
2,18
2,19
3,23
3,24
3,25
4,28
4,29
5,32
5,33
6,36
7,40
8,44
9,46
10,50
10,51
10,52
11,55
11,56
12,59
13,62
13,63
14,66
15,69
