channel_id,data_id
1,6
2,7
3,8
4,9
5,10
6,11
7,12
8,13
9,14
10,15
11,16
12,17
13,18
14,19
15,20
16,21
17,22
18,23
19,24
20,25
21,26
22,26
23,26
24,27
25,27
26,27
27,30
28,30
29,30
30,30
31,31
32,32
33,34
34,34
35,35
36,35
37,36
38,36
39,36
40,37
41,37
42,37
43,43
44,44
45,45
46,51
47,52
48,28
49,29
50,1
51,2
52,3
53,4
54,5
55,5
56,5
57,5
58,53
59,54
60,49
61,50
62,41
63,42
64,39
65,40
66,46
67,38
68,47
69,48
70,33
71,55
72,56
73,57
