port_id,port_type,port_name,qualified_port_name,port_annotation_id,data_id
54,PARAM,fs,GRAVITATIONAL_WAVE_DETECTION.SPECTROGRAMS<-fs,143,30
55,out,GW150914_H1_spectrogram_whitened.png,GRAVITATIONAL_WAVE_DETECTION.SPECTROGRAMS->GW150914_H1_spectrogram_whitened.png,144,41
56,out,GW150914_L1_spectrogram_whitened.png,GRAVITATIONAL_WAVE_DETECTION.SPECTROGRAMS->GW150914_L1_spectrogram_whitened.png,147,42
57,PARAM,fs,GRAVITATIONAL_WAVE_DETECTION.FILTER_COEFS<-fs,153,30
58,out,coefs,GRAVITATIONAL_WAVE_DETECTION.FILTER_COEFS->coefs,154,43
59,in,fn_H1,GRAVITATIONAL_WAVE_DETECTION.FILTER_DATA<-fn_H1,159,26
60,in,fn_L1,GRAVITATIONAL_WAVE_DETECTION.FILTER_DATA<-fn_L1,161,27
61,in,coefs,GRAVITATIONAL_WAVE_DETECTION.FILTER_DATA<-coefs,163,43
62,out,strain_H1_filt,GRAVITATIONAL_WAVE_DETECTION.FILTER_DATA->strain_H1_filt,165,44
63,out,strain_L1_filt,GRAVITATIONAL_WAVE_DETECTION.FILTER_DATA->strain_L1_filt,167,45
64,out,GW150914_filter.png,GRAVITATIONAL_WAVE_DETECTION.FILTER_DATA->GW150914_filter.png,169,46
65,in,strain_H1_filt,GRAVITATIONAL_WAVE_DETECTION.STRAIN_WAVEFORM<-strain_H1_filt,175,44
66,in,strain_L1_filt,GRAVITATIONAL_WAVE_DETECTION.STRAIN_WAVEFORM<-strain_L1_filt,177,45
67,out,GW150914_H1_strain_filtered.png,GRAVITATIONAL_WAVE_DETECTION.STRAIN_WAVEFORM->GW150914_H1_strain_filtered.png,179,47
68,out,GW150914_H1_strain_unfiltered.png,GRAVITATIONAL_WAVE_DETECTION.STRAIN_WAVEFORM->GW150914_H1_strain_unfiltered.png,182,48
69,in,strain_H1_whitenbp,GRAVITATIONAL_WAVE_DETECTION.WAVE_FILE_GENERATOR<-strain_H1_whitenbp,188,36
70,in,strain_L1_whitenbp,GRAVITATIONAL_WAVE_DETECTION.WAVE_FILE_GENERATOR<-strain_L1_whitenbp,190,37
71,out,GW150914_H1_whitenbp.wav,GRAVITATIONAL_WAVE_DETECTION.WAVE_FILE_GENERATOR->GW150914_H1_whitenbp.wav,192,49
72,out,GW150914_L1_whitenbp.wav,GRAVITATIONAL_WAVE_DETECTION.WAVE_FILE_GENERATOR->GW150914_L1_whitenbp.wav,194,50
73,in,strain_H1_whitenbp,GRAVITATIONAL_WAVE_DETECTION.SHIFT_FREQUENCY_BANDPASSED<-strain_H1_whitenbp,199,36
74,in,strain_L1_whitenbp,GRAVITATIONAL_WAVE_DETECTION.SHIFT_FREQUENCY_BANDPASSED<-strain_L1_whitenbp,201,37
75,out,strain_H1_shifted,GRAVITATIONAL_WAVE_DETECTION.SHIFT_FREQUENCY_BANDPASSED->strain_H1_shifted,203,51
